numero_orden,peso_total_kg,volumen_total_m3,lineas,unidades,skus_distintos,direccion_normalizada,lat,lon,node_id,tiene_nodo
ORD-CL-202612-000017,6.409000000000001,0.022742,3,14,3,AV. MATTA 4672,-33.45799120274538,-70.64211682398948,712,True
ORD-CL-202612-000018,69.952,0.42513999999999996,8,32,8,CALLE SANTO DOMINGO 6604,-33.438971360737774,-70.68787532598256,2106,True
ORD-CL-202612-000019,238.139,2.163363,18,113,18,AV. TOBALABA 3402,-33.4315625,-70.5848894,1034,True
ORD-CL-202612-000020,441.534,3.905493,15,90,15,AV. MANUEL MONTT 3031,-33.450409379191655,-70.61310094459272,594,True
ORD-CL-202612-000021,56.571,0.48283199999999993,7,65,7,AV. APOQUINDO 4280,-33.4146429,-70.5862581,69,True
ORD-CL-202612-000022,130.326,0.929949,11,39,11,AV. PAJARITOS 7516,-33.488076083068606,-70.75138480605311,795,True
ORD-CL-202612-000023,76.389,0.599434,6,32,6,CALLE BANDERA 7800,-33.44046393300847,-70.65220603930719,1572,True
ORD-CL-202612-000024,34.907,0.16881,12,41,12,AV. APOQUINDO 5706,-33.4096712,-70.5703756,75,True
ORD-CL-202612-000025,132.448,1.3436409999999999,7,27,7,CALLE TEATINOS 6266,-33.436656955578805,-70.65568127045138,2166,True
ORD-CL-202612-000026,205.491,1.731742,19,51,19,CALLE SAN ANTONIO 1509,-33.4302699,-70.7676359,1960,True
ORD-CL-202612-000027,278.701,1.718718,17,88,17,CALLE COMPAÑÍA DE JESÚS 5241,-33.439644149230105,-70.66251983715254,1661,True
ORD-CL-202612-000028,149.152,0.737742,13,55,13,AV. IRARRÁZAVAL 9906,-33.45211752135792,-70.62996532946244,312,True
ORD-CL-202612-000029,171.365,1.487933,9,47,9,CALLE COMPAÑÍA DE JESÚS 7303,-33.439644149230105,-70.66251983715254,1670,True
ORD-CL-202612-000030,58.504,0.41881999999999997,7,25,7,AV. VICUÑA MACKENNA 154,-33.44289517142857,-70.63342082571428,1081,True
ORD-CL-202612-000031,391.82,2.785992,17,111,17,AV. LA FLORIDA 1002,-33.519235429031845,-70.58115079491817,380,True
ORD-CL-202612-000032,261.691,2.21725,12,47,12,GRAN AVENIDA JOSÉ MIGUEL CARRERA 1084,-33.5575823,-70.6779859,2205,True
ORD-CL-202612-000033,44.655,0.283872,3,17,3,AV. PROVIDENCIA 1687,-33.42649830229008,-70.61543438396947,859,True
ORD-CL-202612-000034,74.702,0.641751,7,22,7,AVENIDA MATTA 7432,-33.45799120274538,-70.64211682398948,1326,True
ORD-CL-202612-000035,15.056000000000001,0.0901,3,13,3,AV. KENNEDY 5660,-33.399406,-70.5752294,345,True
ORD-CL-202612-000036,274.983,2.221654,21,103,21,CALLE MERCED 8895,-33.43731790255185,-70.64174538474282,1847,True
ORD-CL-202612-000037,310.168,1.918602,21,123,21,CALLE AMUNÁTEGUI 5971,-33.41625625370045,-70.66756956491413,1447,True
ORD-CL-202612-000038,82.968,0.605934,8,32,8,AV. IRARRÁZAVAL 1804,-33.4533598,-70.6124658,257,True
ORD-CL-202612-000039,379.04900000000004,3.0056909999999997,15,74,15,AV. TOBALABA 9986,-33.4912094,-70.556329,1076,True
ORD-CL-202612-000040,228.325,1.2154639999999999,24,113,24,AV. LIBERTADOR BERNARDO O HIGGINS 1672,-33.44641763589743,-70.6599249948718,491,True
ORD-CL-202612-000041,215.049,1.561493,19,57,19,AV. GRECIA 8422,-33.47531328717949,-70.54481643205129,191,True
ORD-CL-202612-000042,400.86600000000004,3.098963,16,62,16,AV. DEPARTAMENTAL 4795,-33.5103234,-70.5845273,124,True
ORD-CL-202612-000043,166.556,1.15726,15,51,14,AV. LA FLORIDA 9689,-33.5433136,-70.5702714,433,True
ORD-CL-202612-000044,127.681,0.855742,16,50,16,AV. TOBALABA 5892,-33.5145717,-70.5596454,1052,True
ORD-CL-202612-000045,10.192,0.031416,4,26,4,AV. APOQUINDO 7097,-33.4079671,-70.5555604,88,True
ORD-CL-202612-000046,235.99099999999999,1.1417739999999998,15,123,15,AV. MANUEL MONTT 4785,-33.450409379191655,-70.61310094459272,603,True
ORD-CL-202612-000047,8.764,0.029983,5,15,5,AV. PAJARITOS 3788,-33.4915217,-70.7534013,772,True
ORD-CL-202612-000048,110.76899999999999,0.757876,12,34,12,AV. LAS CONDES 2824,-33.38904613999576,-70.54005416426546,446,True
ORD-CL-202612-000049,488.323,3.858722,16,108,16,AV. GRECIA 7712,-33.474217767999995,-70.55036291280001,187,True
ORD-CL-202612-000050,357.9,3.376867,18,119,18,CALLE TEATINOS 7022,-33.436656955578805,-70.65568127045138,2168,True
ORD-CL-202612-000051,85.098,0.6595449999999999,20,61,20,AV. SANTA ROSA 8652,-33.5400056,-70.6342698,1008,True
ORD-CL-202612-000052,231.903,1.65258,22,107,22,AV. IRARRÁZAVAL 8302,-33.45211752135792,-70.62996532946244,302,True
ORD-CL-202612-000053,136.555,1.127713,11,43,11,AV. LIBERTADOR BERNARDO O HIGGINS 5746,-33.448743251107814,-70.67154545028562,520,True
ORD-CL-202612-000054,65.264,0.341953,10,40,9,GRAN AVENIDA JOSÉ MIGUEL CARRERA 1092,-33.5570575,-70.677793,2206,True
ORD-CL-202612-000055,56.143,0.22448,13,47,13,AV. MAPOCHO 6648,-33.432762,-70.686501,665,True
ORD-CL-202612-000056,118.28999999999999,0.587142,14,54,14,CALLE ESTADO 5634,-33.43949515564987,-70.64953513821996,1724,True
ORD-CL-202612-000057,196.188,1.430081,10,50,10,CALLE BANDERA 7833,-33.44046393300847,-70.65220603930719,1574,True
ORD-CL-202612-000058,395.57399999999996,3.0327170000000003,14,69,14,AV. DEPARTAMENTAL 6137,-33.511167,-70.5699378,134,True
ORD-CL-202612-000059,647.76,5.000096,24,142,24,CALLE COMPAÑÍA DE JESÚS 1673,-33.439351599999995,-70.66045465,1642,True
ORD-CL-202612-000060,83.3,0.577669,17,52,17,AV. MACUL 7795,-33.49707804581206,-70.59790889427815,569,True
ORD-CL-202612-000061,10.597999999999999,0.025684000000000002,2,3,2,AV. MANUEL MONTT 5734,-33.450409379191655,-70.61310094459272,610,True
ORD-CL-202612-000062,101.555,0.6345310000000001,8,38,8,CALLE SAN ANTONIO 9379,-33.43487534738776,-70.64887247008978,2009,True
ORD-CL-202612-000063,83.337,0.478858,12,59,12,AV. MAPOCHO 5244,-33.432762,-70.686501,659,True
ORD-CL-202612-000064,143.076,0.944574,24,77,24,CALLE TEATINOS 1289,-33.436656955578805,-70.65568127045138,2137,True
ORD-CL-202612-000065,461.169,2.801701,18,106,18,AV. GRECIA 5637,-33.46821033574976,-70.57937655427114,173,True
ORD-CL-202612-000066,220.91,1.260176,24,130,24,CALLE TEATINOS 5180,-33.436656955578805,-70.65568127045138,2160,True
ORD-CL-202612-000067,324.725,2.5116389999999997,13,67,13,AV. SANTA ROSA 1012,-33.4575059,-70.643308975,961,True
ORD-CL-202612-000068,314.366,2.7088710000000003,14,52,13,CALLE TEATINOS 1540,-33.436656955578805,-70.65568127045138,2139,True
ORD-CL-202612-000069,79.17,0.40036800000000006,8,44,8,AV. PEDRO DE VALDIVIA 8517,-33.446682,-70.605953,845,True
ORD-CL-202612-000070,22.641,0.074644,6,20,6,AV. AMÉRICO VESPUCIO 6473,-33.5129982,-70.5904433,29,True
ORD-CL-202612-000071,197.406,1.00603,22,102,22,AV. PAJARITOS 3626,-33.4931941,-70.7560064,766,True
ORD-CL-202612-000072,290.306,2.176776,14,64,14,AV. VITACURA 8184,-33.38497581764706,-70.55494609411765,1168,True
ORD-CL-202612-000073,73.828,0.657142,7,29,7,CALLE ARTURO PRAT 4790,-33.452475519393765,-70.64863131734094,1507,True
ORD-CL-202612-000074,164.675,1.1960979999999999,19,57,19,AV. DEPARTAMENTAL 4795,-33.5103234,-70.5845273,124,True
ORD-CL-202612-000075,103.453,0.7163630000000001,13,54,13,AVENIDA GRECIA 3963,-33.4651442,-70.5902593,1216,True
ORD-CL-202612-000076,223.055,1.605694,27,119,27,CALLE MERCED 1295,-33.43731790255185,-70.64174538474282,1805,True
ORD-CL-202612-000077,118.299,0.684757,16,50,16,CALLE COMPAÑÍA DE JESÚS 386,-33.439644149230105,-70.66251983715254,1656,True
ORD-CL-202612-000078,99.569,0.301533,9,57,9,CALLE SANTO DOMINGO 1055,-33.43618697111111,-70.65202458666666,2076,True
ORD-CL-202612-000079,37.803999999999995,0.201767,5,16,5,AV. IRARRÁZAVAL 6780,-33.45211752135792,-70.62996532946244,297,True
ORD-CL-202612-000080,235.35899999999998,1.354136,18,127,18,GRAN AVENIDA JOSÉ MIGUEL CARRERA 9844,-33.5495715,-70.6713348,2253,True
ORD-CL-202612-000081,119.629,0.679723,16,87,16,CALLE SAN DIEGO 2452,-33.46971150355578,-70.64855318455172,2028,True
ORD-CL-202612-000082,96.304,0.481125,14,62,14,AV. DEPARTAMENTAL 2287,-33.49774282013423,-70.67137071879195,112,True
ORD-CL-202612-000083,24.411,0.10483300000000001,8,18,8,AV. LA FLORIDA 9689,-33.5433136,-70.5702714,433,True
ORD-CL-202612-000084,74.783,0.486004,8,22,8,AVENIDA SANTA ROSA 7174,-33.526553832653065,-70.635556892517,1382,True
ORD-CL-202612-000085,206.31,1.445278,14,49,14,CALLE TEATINOS 975,-33.432789157777776,-70.65576433999999,2191,True
ORD-CL-202612-000086,274.353,1.775647,22,112,22,AV. MATTA 4411,-33.45799120274538,-70.64211682398948,709,True
ORD-CL-202612-000087,62.263999999999996,0.237597,12,39,12,AV. PAJARITOS 5796,-33.488076083068606,-70.75138480605311,783,True
ORD-CL-202612-000088,161.207,0.940815,15,66,15,CALLE MONJITAS 7974,-33.436639090107406,-70.64200400967839,1891,True
ORD-CL-202612-000089,144.74,0.6539229999999999,16,81,16,CALLE SAN DIEGO 6019,-33.46971150355578,-70.64855318455172,2052,True
ORD-CL-202612-000090,119.266,0.8919710000000001,17,83,17,AV. LA FLORIDA 7983,-33.5250518,-70.5777783,420,True
ORD-CL-202612-000091,167.541,0.848647,11,65,11,AV. INDEPENDENCIA 4637,-33.38621719285714,-70.67873796428572,215,True
ORD-CL-202612-000092,131.547,0.8928,24,79,24,AV. PROVIDENCIA 4727,-33.435086638100124,-70.62889344723304,886,True
ORD-CL-202612-000093,124.317,0.93725,10,74,10,CALLE CATEDRAL 2615,-33.4394687125,-70.67269285,1593,True
ORD-CL-202612-000094,121.338,0.745546,22,93,22,AV. IRARRÁZAVAL 640,-33.45318911472868,-70.62371892713178,296,True
ORD-CL-202612-000095,23.866,0.076045,8,21,8,CALLE MORANDÉ 3761,-33.43452185756808,-70.65443829443069,1924,True
ORD-CL-202612-000096,188.514,1.135991,17,48,17,CALLE ARTURO PRAT 4852,-33.452475519393765,-70.64863131734094,1508,True
ORD-CL-202612-000097,45.213,0.291538,5,12,5,CALLE BANDERA 7702,-33.44046393300847,-70.65220603930719,1571,True
ORD-CL-202612-000098,137.64,0.804171,9,78,9,AV. APOQUINDO 3829,-33.4155624,-70.5905938,67,True
ORD-CL-202612-000099,189.568,1.403114,16,51,15,AV. MACUL 2508,-33.47767395176471,-70.59879762117647,546,True
ORD-CL-202612-000100,66.528,0.473768,12,42,11,AV. LAS CONDES 1523,-33.393217,-70.544274,439,True
ORD-CL-202612-000101,38.302,0.194866,7,20,7,GRAN AVENIDA JOSÉ MIGUEL CARRERA 7987,-33.52688736538462,-70.66173722692308,2241,True
ORD-CL-202612-000102,80.783,0.426261,19,77,19,AV. MANUEL MONTT 5607,-33.43961,-70.6155,609,True
ORD-CL-202612-000103,28.536,0.20825000000000002,7,28,7,CALLE TEATINOS 7628,-33.436656955578805,-70.65568127045138,2177,True
ORD-CL-202612-000104,28.997999999999998,0.258279,8,22,8,CALLE SAN DIEGO 3767,-33.46971150355578,-70.64855318455172,2037,True
ORD-CL-202612-000105,50.063,0.342226,10,21,10,AV. LAS CONDES 6424,-33.38904613999576,-70.54005416426546,470,True
ORD-CL-202612-000106,367.621,2.928905,8,54,8,CALLE SANTO DOMINGO 7909,-33.438971360737774,-70.68787532598256,2117,True
ORD-CL-202612-000107,319.797,2.219156,26,87,26,CALLE SANTO DOMINGO 9121,-33.438971360737774,-70.68787532598256,2126,True
ORD-CL-202612-000108,31.394000000000002,0.23048200000000002,4,15,4,AVENIDA KENNEDY 3695,-33.4055216,-70.5917304,1240,True
ORD-CL-202612-000109,36.206,0.193788,8,29,8,CALLE SAN DIEGO 9520,-33.46971150355578,-70.64855318455172,2073,True
ORD-CL-202612-000110,202.656,1.450023,14,54,13,AV. MAPOCHO 2352,-33.4322458,-70.6700658,642,True
ORD-CL-202612-000111,255.632,2.018805,20,73,20,AV. LAS CONDES 599,-33.38904613999576,-70.54005416426546,466,True
ORD-CL-202612-000112,246.656,1.4095900000000001,15,92,15,AV. MACUL 2508,-33.47767395176471,-70.59879762117647,546,True
ORD-CL-202612-000113,111.969,0.830639,11,43,11,CALLE HUÉRFANOS 7037,-33.43969907361054,-70.65168277752262,1795,True
ORD-CL-202612-000114,205.41400000000002,1.304414,17,91,17,CALLE ESTADO 238,-33.44019705510204,-70.64957812653061,1697,True
ORD-CL-202612-000115,100.879,0.371757,15,82,15,CALLE SAN ANTONIO 6514,-33.43487534738776,-70.64887247008978,1991,True
ORD-CL-202612-000116,59.343,0.408974,6,23,6,AV. LIBERTADOR BERNARDO O HIGGINS 4192,-33.4545525,-70.6933263,510,True
ORD-CL-202612-000117,129.178,1.183075,8,40,8,AV. LA FLORIDA 777,-33.519235429031845,-70.58115079491817,419,True
ORD-CL-202612-000118,215.678,1.214056,26,137,26,AVENIDA LA FLORIDA 3026,-33.5158876737604,-70.58408346247862,1257,True
ORD-CL-202612-000119,123.92399999999999,0.728827,4,35,4,CALLE SAN ANTONIO 7911,-33.43487534738776,-70.64887247008978,1999,True
ORD-CL-202612-000120,65.663,0.332504,12,33,12,AV. DEPARTAMENTAL 2586,-33.49639758636363,-70.67380454545456,113,True
ORD-CL-202612-000121,159.01500000000001,1.152351,10,55,10,CALLE BANDERA 3131,-33.44046393300847,-70.65220603930719,1549,True
ORD-CL-202612-000122,73.911,0.32269,11,37,11,AV. SANTA ROSA 5626,-33.470603450000006,-70.6422032,988,True
ORD-CL-202612-000123,26.613,0.167473,7,28,7,AV. MACUL 1756,-33.49707804581206,-70.59790889427815,541,True
ORD-CL-202612-000124,201.60600000000002,1.5082060000000002,8,36,7,AV. AMÉRICO VESPUCIO 4961,-33.512983,-70.5938519,22,True
ORD-CL-202612-000125,75.044,0.649948,6,14,6,AV. MAPOCHO 1404,-33.432762,-70.686501,637,True
ORD-CL-202612-000126,120.39699999999999,0.866797,20,79,20,AV. KENNEDY 6395,-33.3964731,-70.5674161,351,True
ORD-CL-202612-000127,159.264,0.994723,21,97,21,AV. INDEPENDENCIA 8901,-33.430113,-70.653323,243,True
ORD-CL-202612-000128,163.666,0.835219,18,71,18,CALLE BANDERA 9916,-33.44046393300847,-70.65220603930719,1587,True
ORD-CL-202612-000129,148.96699999999998,0.727684,18,103,18,AV. MATTA 5603,-33.45799120274538,-70.64211682398948,719,True
ORD-CL-202612-000130,192.0,0.959125,7,45,7,CALLE SAN DIEGO 1071,-33.459257552083336,-70.64931600624999,2017,True
ORD-CL-202612-000131,169.68099999999998,1.177147,14,46,14,AV. DEPARTAMENTAL 6863,-33.511587,-70.5622381,137,True
ORD-CL-202612-000132,457.326,3.394657,15,101,15,AV. SANTA ROSA 5046,-33.50361877575757,-70.63861415050505,980,True
ORD-CL-202612-000133,55.809,0.379469,6,27,6,CALLE TEATINOS 4659,-33.436656955578805,-70.65568127045138,2158,True
ORD-CL-202612-000134,205.399,1.450959,18,59,18,CALLE ESTADO 7420,-33.43949515564987,-70.64953513821996,1738,True
ORD-CL-202612-000135,128.115,0.644218,13,70,13,AV. VICUÑA MACKENNA 8405,-33.53269003199999,-70.59448258,1124,True
ORD-CL-202612-000136,222.421,1.9316049999999998,8,58,8,AV. MAPOCHO 7888,-33.432762,-70.686501,674,True
ORD-CL-202612-000137,93.849,0.752142,9,39,9,AV. KENNEDY 5651,-33.3997632,-70.5757715,344,True
ORD-CL-202612-000138,428.517,3.117453,21,89,21,AV. GRECIA 943,-33.46049613448276,-70.6220507,194,True
ORD-CL-202612-000139,114.05000000000001,0.6149249999999999,11,42,11,AV. PAJARITOS 9174,-33.488076083068606,-70.75138480605311,805,True
ORD-CL-202612-000140,16.676000000000002,0.074669,2,5,2,AV. APOQUINDO 8832,-33.41052665057889,-70.57323806478458,99,True
ORD-CL-202612-000141,24.278,0.084659,8,27,8,CALLE SAN ANTONIO 2631,-33.43487534738776,-70.64887247008978,1968,True
ORD-CL-202612-000142,201.451,1.184773,23,70,23,AV. VITACURA 682,-33.4178672,-70.6052595,1159,True
ORD-CL-202612-000143,17.982,0.074223,6,27,6,AV. MATTA 9543,-33.45799120274538,-70.64211682398948,742,True
ORD-CL-202612-000144,24.471,0.195999,6,18,6,AVENIDA VITACURA 713,-33.4178406,-70.6052487,1408,True
ORD-CL-202612-000145,298.808,2.045516,25,88,25,AV. DEPARTAMENTAL 8533,-33.49342680302045,-70.67774623290455,148,True
ORD-CL-202612-000146,140.809,0.902335,14,62,14,CALLE ESTADO 9631,-33.43949515564987,-70.64953513821996,1750,True
ORD-CL-202612-000147,422.36400000000003,2.918481,23,123,23,CALLE CATEDRAL 9906,-33.438738201983064,-70.66443720992424,1636,True
ORD-CL-202612-000148,20.717,0.07506,7,28,7,AV. IRARRÁZAVAL 2033,-33.453654,-70.6098817,258,True
ORD-CL-202612-000149,357.42199999999997,3.2931589999999997,16,83,16,AV. LAS CONDES 7366,-33.4031698,-70.5561641,476,True
ORD-CL-202612-000150,173.38400000000001,1.086861,9,50,9,CALLE SANTO DOMINGO 6777,-33.438971360737774,-70.68787532598256,2108,True
ORD-CL-202612-000151,92.04,0.685564,13,41,13,CALLE SANTO DOMINGO 5170,-33.442098310000006,-70.70665943,2100,True
ORD-CL-202612-000152,263.344,1.614724,24,136,24,CALLE SANTO DOMINGO 8242,-33.438971360737774,-70.68787532598256,2119,True
ORD-CL-202612-000153,72.256,0.332069,9,29,9,CALLE SAN DIEGO 1862,-33.47050244736842,-70.64829097368421,2024,True
ORD-CL-202612-000154,292.31,2.4601040000000003,22,96,22,CALLE HUÉRFANOS 3861,-33.43969907361054,-70.65168277752262,1772,True
ORD-CL-202612-000155,60.149,0.40036700000000003,6,33,6,CALLE MONJITAS 4798,-33.436639090107406,-70.64200400967839,1871,True
ORD-CL-202612-000156,243.283,2.012563,13,46,13,CALLE AMUNÁTEGUI 8910,-33.41625625370045,-70.66756956491413,1468,True
ORD-CL-202612-000157,5.232,0.009038000000000001,3,14,3,AV. VICUÑA MACKENNA 154,-33.44289517142857,-70.63342082571428,1081,True
ORD-CL-202612-000158,68.55199999999999,0.409073,9,31,9,AV. LIBERTADOR BERNARDO O HIGGINS 2588,-33.4493354,-70.6727827,495,True
ORD-CL-202612-000159,77.22999999999999,0.359909,8,30,8,AV. PAJARITOS 6316,-33.488076083068606,-70.75138480605311,787,True
ORD-CL-202612-000160,52.419,0.24536799999999998,7,45,7,AV. PROVIDENCIA 178,-33.4830035967742,-70.7436999967742,860,True
ORD-CL-202612-000161,154.35,0.45450199999999996,12,80,12,AV. LIBERTADOR BERNARDO O HIGGINS 9819,-33.44378662227161,-70.65086273448715,536,True
ORD-CL-202612-000162,40.098,0.270497,4,36,4,AV. MATTA 5052,-33.45799120274538,-70.64211682398948,715,True
ORD-CL-202612-000163,9.34,0.024849,4,6,4,AV. PEDRO DE VALDIVIA 8264,-33.446682,-70.605953,843,True
ORD-CL-202612-000164,447.313,2.996074,22,133,22,AVENIDA MACUL 2271,-33.475424546938775,-70.59900136938775,1290,True
ORD-CL-202612-000165,115.065,0.9125030000000001,11,34,11,AV. PAJARITOS 9996,-33.488076083068606,-70.75138480605311,812,True
ORD-CL-202612-000166,190.88000000000002,1.056657,18,85,18,CALLE ARTURO PRAT 2589,-33.49913642756964,-70.72387225161702,1491,True
ORD-CL-202612-000167,132.673,0.7692950000000001,21,95,21,AV. TOBALABA 8026,-33.4554611,-70.5566262,1064,True
ORD-CL-202612-000168,303.139,2.1509840000000002,14,92,14,GRAN AVENIDA JOSÉ MIGUEL CARRERA 9890,-33.5503566,-70.6721017,2255,True
ORD-CL-202612-000169,97.546,0.682211,12,38,12,CALLE SANTO DOMINGO 9121,-33.438971360737774,-70.68787532598256,2126,True
ORD-CL-202612-000170,140.58800000000002,0.776806,6,33,6,CALLE SAN ANTONIO 2929,-33.43487534738776,-70.64887247008978,1970,True
ORD-CL-202612-000171,153.17100000000002,1.285196,9,38,9,AV. DEPARTAMENTAL 8533,-33.49342680302045,-70.67774623290455,148,True
ORD-CL-202612-000172,236.68200000000002,1.648344,7,60,7,AV. TOBALABA 7018,-33.4480812,-70.5630542,1055,True
ORD-CL-202612-000173,210.078,1.5282339999999999,14,81,13,CALLE MORANDÉ 3445,-33.43452185756808,-70.65443829443069,1922,True
ORD-CL-202612-000174,152.983,1.0718400000000001,9,74,9,AV. PAJARITOS 4700,-33.4792076,-70.7426405,777,True
ORD-CL-202612-000175,601.926,4.467168,24,123,23,AVENIDA IRARRÁZAVAL 7578,-33.45211752135792,-70.62996532946244,1236,True
ORD-CL-202612-000176,208.364,1.02277,18,71,18,AV. INDEPENDENCIA 1274,-33.411545295918366,-70.65735260000001,198,True
ORD-CL-202612-000177,185.289,0.905824,10,65,10,AV. LA FLORIDA 2133,-33.519235429031845,-70.58115079491817,386,True
ORD-CL-202612-000178,89.199,0.363445,8,35,8,CALLE BANDERA 9187,-33.44046393300847,-70.65220603930719,1583,True
ORD-CL-202612-000179,153.987,0.716423,15,92,15,AV. PEDRO DE VALDIVIA 4433,-33.463943688,-70.606522622,828,True
ORD-CL-202612-000180,232.758,1.2595859999999999,22,104,21,AV. GRECIA 4946,-33.4685194,-70.5785103,169,True
ORD-CL-202612-000181,36.521,0.053708,6,33,6,CALLE MORANDÉ 1976,-33.43452185756808,-70.65443829443069,1912,True
ORD-CL-202612-000182,242.87199999999999,1.9726400000000002,10,69,10,AV. MAPOCHO 4083,-33.43231273781036,-70.6598401291291,648,True
ORD-CL-202612-000183,100.819,0.6854899999999999,15,53,15,AV. VICUÑA MACKENNA 578,-33.4486153,-70.6317957,1112,True
ORD-CL-202612-000184,28.967,0.226307,3,6,3,CALLE ARTURO PRAT 175,-33.44686055,-70.64992026,1483,True
ORD-CL-202612-000185,11.855,0.027788,7,17,7,AV. MACUL 791,-33.49707804581206,-70.59790889427815,571,True
ORD-CL-202612-000186,312.613,2.029133,20,138,20,AV. PAJARITOS 9996,-33.488076083068606,-70.75138480605311,812,True
ORD-CL-202612-000187,37.419,0.222291,9,35,9,AV. INDEPENDENCIA 4810,-33.385127250000004,-70.68005207307692,217,True
ORD-CL-202612-000188,425.347,3.169764,29,157,28,AV. LIBERTADOR BERNARDO O HIGGINS 9819,-33.44378662227161,-70.65086273448715,536,True
ORD-CL-202612-000189,236.778,2.017478,13,57,12,CALLE ESTADO 3858,-33.43949515564987,-70.64953513821996,1705,True
ORD-CL-202612-000190,217.186,1.5580349999999998,24,98,23,CALLE MORANDÉ 5902,-33.43452185756808,-70.65443829443069,1933,True
ORD-CL-202612-000191,86.738,0.677934,10,35,9,CALLE SAN ANTONIO 448,-33.437700910204086,-70.64860850816326,1981,True
ORD-CL-202612-000192,43.68,0.17384000000000002,11,36,11,CALLE TEATINOS 3427,-33.436656955578805,-70.65568127045138,2150,True
ORD-CL-202612-000193,213.679,1.393939,17,103,16,CALLE HUÉRFANOS 996,-33.439705486792455,-70.65072353018867,1804,True
ORD-CL-202612-000194,190.574,1.315903,19,97,19,CALLE ARTURO PRAT 2535,-33.49914056964457,-70.7238758170349,1489,True
ORD-CL-202612-000195,222.207,1.450181,12,86,12,AV. LAS CONDES 180,-33.393217,-70.544274,440,True
ORD-CL-202612-000196,289.606,1.8953200000000001,25,112,25,CALLE ARTURO PRAT 1187,-33.460701875000005,-70.6473110625,1479,True
ORD-CL-202612-000197,358.37,2.703977,22,101,21,CALLE SAN DIEGO 9161,-33.46971150355578,-70.64855318455172,2068,True
ORD-CL-202612-000198,351.854,2.895733,21,99,21,AV. KENNEDY 7474,-33.3927728,-70.5567302,361,True
ORD-CL-202612-000199,4.792,0.020912,5,9,5,CALLE MONJITAS 3087,-33.436639090107406,-70.64200400967839,1864,True
ORD-CL-202612-000200,27.854,0.134501,6,25,6,AVENIDA LA FLORIDA 4780,-33.5158876737604,-70.58408346247862,1260,True
ORD-CL-202612-000201,84.25,0.46551000000000003,9,54,8,CALLE ESTADO 8180,-33.43949515564987,-70.64953513821996,1741,True
ORD-CL-202612-000202,162.494,1.384473,9,38,9,AV. DEPARTAMENTAL 6863,-33.511587,-70.5622381,137,True
ORD-CL-202612-000203,210.463,1.61727,13,40,13,CALLE MERCED 7933,-33.43731790255185,-70.64174538474282,1843,True
ORD-CL-202612-000204,183.258,1.2367380000000001,19,77,19,CALLE MORANDÉ 7331,-33.43452185756808,-70.65443829443069,1945,True
ORD-CL-202612-000205,365.925,2.148025,20,98,19,AV. SANTA ROSA 5380,-33.507015,-70.6384402,984,True
ORD-CL-202612-000206,328.576,1.937913,16,120,16,CALLE MONJITAS 403,-33.43643036666666,-70.64363440833333,1866,True
ORD-CL-202612-000207,85.328,0.401285,6,26,6,AV. PEDRO DE VALDIVIA 2536,-33.4458416,-70.6060958,819,True
ORD-CL-202612-000208,609.031,4.894504,18,105,17,AV. PAJARITOS 1016,-33.5179575,-70.7573922,744,True
